Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
Rungrado 1st of May Stadium♦,"114,000[1]",East Asia,North Korea,Pyongyang,,"Korea DPR national football team,Korea DPR women's national football team,April 25"
Michigan Stadium,"107,601[2]",North America,United States,"Ann Arbor, Michigan",,Michigan Wolverines football
Ohio Stadium,"102,780[3]",North America,United States,"Columbus, Ohio",,Ohio State Buckeyes football
Melbourne Cricket Ground♦,"100,024[4]",Oceania,Australia,"Melbourne,Victoria",,"Australia national cricket team,Victoria cricket team,Melbourne Cricket Club,Melbourne Stars,Melbourne FC,Richmond FC,Collingwood FC,Hawthorn FC"
Camp Nou♦,"99,354[5]",Europe,Spain,"Barcelona, Catalonia",,FC Barcelona
Estadio Azteca♦,"95,500[6]",North America,Mexico,Mexico City,,"Club América,Cruz Azul,Mexico national football team"
FNB Stadium♦,"94,736[7]",Africa,South Africa,"Johannesburg,Gauteng",,"South Africa national football team,Kaizer Chiefs"
New Administrative Capital Stadium♦,"93,940[8]",Africa,Egypt,New Administrative Capital,,Egypt national football team
Rose Bowl Stadium,"92,800[9]",North America,United States,"Pasadena, California",,UCLA Bruins
Cotton Bowl Stadium,"92,100[10]",North America,United States,"Dallas,Texas",,Dallas Trinity FC
Wembley Stadium♦,"90,000[11]",Europe,England,"London, England",,England national football team
Lusail Stadium♦,"88,966[12]",West Asia,Qatar,Lusail,,Qatar national football team
Bukit Jalil National Stadium♦,"87,411",Southeast Asia,Malaysia,Kuala Lumpur,,Malaysia national football team[13]
Borg el-Arab Stadium,"86,000[14]",Africa,Egypt,Alexandria,,"Egypt national football team,Al Ittihad,Smouha"
Estadio Santiago Bernabéu,"85,000[15]",Europe,Spain,Madrid,,Real Madrid
Estadio Mâs Monumental♦,"84,567",South America,Argentina,Buenos Aires,,"Argentina national football team,River Plate"
Stadium Australia,"83,500",Oceania,Australia,"Sydney,New South Wales",,"South Sydney Rabbitohs,Canterbury-Bankstown Bulldogs,New South Wales Blues,New South Wales Waratahs,Australia men's national soccer team,Australia national rugby union team"
MetLife Stadium,"82,500",North America,United States,"East Rutherford, New Jersey",,"New York Giants,New York Jets,United States men's national soccer team"
Croke Park♦,"82,300[16]",Europe,Ireland,Dublin,,"Gaelic Athletic Association,Dublin GAA"
Jakarta International Stadium♦,"82,000",Southeast Asia,Indonesia,Jakarta,,"Persija Jakarta,Indonesia national football team"
Lambeau Field,"81,441[17]",North America,United States,"Green Bay, Wisconsin",,Green Bay Packers
Signal Iduna Park♦,"81,365",Europe,Germany,Dortmund,,Borussia Dortmund
